Reference,Property Type,Ad Type,Bedrooms,Bathrooms,Area (sqft),Details,Service Type,Address,Price (AED),DLD Permit Number,Agent ID
axc-3962680,Apartment,VERIFIED,1,2,740,Exclusive | Furnished | Best Layout | Vacant,PREMIUM,"Jumeirah Gate Tower 2, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",3200000,7135300902.0,c2345182-67b4-4b86-8ea4-f1818215ad9c
SkyView-S-8374,Apartment,UNVERIFIED,2,3,"1,576",Ideal Investment | Limited Units | Central Park,PREMIUM,"Central Park at City Walk, City Walk, Dubai",2999999,749474878.0,2da31528-3555-4064-a1df-9523d99bba51
PF-AS-85644,Apartment,UNVERIFIED,2,2,968,Priced to sell| High ROI | Brand new,PREMIUM,"Mudon Views, Mudon, Dubai",1150000,7178401972.0,cef5013a-99e3-4349-b4c9-4f1cbaceb5f3
DP-S-44047,Apartment,VERIFIED,2,3,1579,Brand New | Burj Khalifa and Canal Views,PREMIUM,"Waves Tower, Business Bay, Dubai",2400000,71411662592.0,43c48c57-e8e4-4495-978e-94aa675a7ef1
ATO230713,Apartment,VERIFIED,2,2,1018,Genuine Resale I 2 Bedroom I Full Park View,PREMIUM,"Park Field, Dubai Hills Estate, Dubai",2272500,71419508850.0,86a30240-f558-4186-a8c1-8b887a1888c5
PS-041924,Apartment,VERIFIED,2,2,879,Luxury Apartment | High Floor | Vacant,PREMIUM,"Hayat Boulevard, Town Square, Dubai",900000,7131061915.0,f50fcc85-9c47-4fc2-950e-31cba0c984fc
yourdealerrealestate-4809033,Apartment,UNVERIFIED,1,1,740,Resale| Payment plan | City walk,PREMIUM,"Central Park at City Walk, City Walk, Dubai",2200000,266945293.0,31e9d0b0-f12b-4ebb-ab71-3b1e91a07754
LHD-S-1375,Penthouse,VERIFIED,5,5,7968,Modern Elegant|Spacious 5BR Penthouse|Handover2026,PREMIUM,"Fern, Central Park at City Walk, City Walk, Dubai",32000000,71448041591.0,dd8b6638-3b03-424a-ae6a-3f306cf5d1e6
DEUS-PALM-5BR,Villa,VERIFIED,5,5,6789,Exclusive | Fully high end upgraded | High number,PREMIUM,"Garden Homes Frond N, Garden Homes, Palm Jumeirah, Dubai",69999999,6512600800.0,404111a8-49d6-4b02-81ba-359f629a5ab9
AGCO-S-4319,Townhouse,VERIFIED,4,4,2340,Payment Plan | Corner | L ship Garden | Brand New,PREMIUM,"Parkside 1, EMAAR South, Dubai South (Dubai World Central), Dubai",2000000,6516682288.0,e420b860-3e4e-4527-a6da-f4e2af483dd5
truehome-5052555,Villa,UNVERIFIED,4,5,"8,000",Corner Villa | Very Well Maintained,PREMIUM,"Al Falaj, Al Riqqa, Sharjah",Ask,,e0f352d2-5b50-4f4c-a8ae-329a6cc70c80
ANW-S-SAR-00680,Villa,VERIFIED,4,5,2471,Exclusive | Genuine Listing | Motivated Seller,PREMIUM,"Aura, Tilal Al Ghaf, Dubai",4300000,69361630292.0,6141b3e2-455f-4da2-8d25-fbaea9b7d401
AQ-S-23-00661,Apartment,VERIFIED,3,4,1697,Luxurious Unit | Full Marina View | Ready,PREMIUM,"Vida Residences Dubai Marina, Dubai Marina, Dubai",6200000,7143149191.0,d3a8b438-2875-4ada-9ac9-ae51317e0c88
MJ-S-38524,Townhouse,UNVERIFIED,2,3,"2,217",Invest Your Money Brilliantly Now With Re/Max !,PREMIUM,"The Magnolias, Yas Acres, Yas Island, Abu Dhabi",2616000,,a23bd17c-4673-4a0f-92a5-d8a74c99afdd
L-184008,Villa,VERIFIED,6,7,11308,Extraordinary Luxury Mansion in Sanctuary Falls,PREMIUM,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai",50000000,6516392814.0,df2aa58a-5922-441f-9ee2-1cc43f7f2f32
L-184471,Townhouse,VERIFIED,3,3,2190,Type 1 | On Green Belt | Near Facilities,PREMIUM,"Noor Townhouses, Town Square, Dubai",2100000,6941175989.0,66a68b32-468a-4ee0-9316-d353b77f1d6d
DUB160028,Villa,VERIFIED,4,4,7500,New Listing - Giovanni - Large Plot,PREMIUM,"Olive Point, Earth, Jumeirah Golf Estates, Dubai",17800000,6530421600.0,df2aa58a-5922-441f-9ee2-1cc43f7f2f32
044_2023,Apartment,UNVERIFIED,Studio,1,388,Amazing Golf Views | Payment Plan | Mid floor,PREMIUM,"Se7en City JLT, Jumeirah Lake Towers, Dubai",620000,71199098725.0,0b85e253-2828-496a-a3ab-376bcec9a324
ET-S-10018,Villa,VERIFIED,5,6,11697,5 Beds|Garden Hall| Full Lake View| Extended,PREMIUM,"Garden Hall, European Clusters, Jumeirah Islands, Dubai",15999950,6587398000.0,2445a9ef-f636-47f0-b421-247d63737471
axc-3650795,Apartment,VERIFIED,1,2,845,Opera View | Motivated Seller | 1 Bedroom,PREMIUM,"Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai",2050000,7195865050.0,6746cb31-f42d-40fb-aa83-73ad6bd8b0cc
DNL-S-7421,Villa,UNVERIFIED,4,6,"4,795",Stunning location | 4BR |Private Pool & Lift,PREMIUM,"Al Barari Villas, Al Barari, Dubai",5500000,1833972366.0,3c98ee85-4605-45fb-b43c-275d564d2824
SWA-S-1789,Townhouse,VERIFIED,3,4,2152,Single Row l Close to the Park l Multiple Options,PREMIUM,"Elan, Tilal Al Ghaf, Dubai",2500000,,4c331b3f-efde-4cef-8e03-3f3a7dedb53b
L-211375,Villa,VERIFIED,5,4,4909,Huge Plot | Golf Course View | Vacant,PREMIUM,"Saheel, Arabian Ranches, Dubai",9900000,6510219300.0,83f665e4-9c28-4566-8c5b-30d173403ebc
DUB130306,Villa,VERIFIED,5,5,6124,Hattan E1 | Vacant | Private Pool | 5 Bed,PREMIUM,"Hattan, Arabian Ranches, Dubai",9500000,6510206300.0,83f665e4-9c28-4566-8c5b-30d173403ebc
zh-4448515,Apartment,UNVERIFIED,3,4,"1,580",BURJ KHALIFA VIEW | ABOVE 40th FLOOR | BRAND NEW,PREMIUM,"Downtown Views II, Downtown Dubai, Dubai",3899999,7129988400.0,803f8045-bc0c-4429-ba41-afbad0a1ddd0
AsK002,Apartment,VERIFIED,2,2,1139,Spacious | Unfurnished | Creek View,PREMIUM,"Harbour Gate Tower 2, Harbour Gate, Dubai Creek Harbour (The Lagoons), Dubai",2000000,7140500273.0,89e72612-7ec3-44d2-85f1-69a80192161f
PF-May-Thirteen-VS-82155,Townhouse,UNVERIFIED,4,4,"6,056",Single Row Corner Huge Plot 4 Bedrooms For Sale !,PREMIUM,"Naseem, Mudon, Dubai",4500000,65280733253.0,6b66209f-8ea6-4767-b453-2676b47e1e00
PF-AS-87721,Apartment,UNVERIFIED,Studio,1,350,High Floor | Amazing Deal | Investors Options,PREMIUM,"Seven Palm, Palm Jumeirah, Dubai",1210000,71156771319.0,e01f76fe-d54d-4a96-9256-a0c2c1b48ddc
cereb-5004725,Apartment,UNVERIFIED,3,4,"1,700",3BED APARTMENT-SEA VIEW DIRECTLY-10%DOWN PAYTMENT,PREMIUM,"Maryam Island, Sharjah",Ask,,cfbe2135-87c5-489a-a07e-ec65c3e939c1
amberhomes-4694906,Apartment,UNVERIFIED,2,2,"1,671",FULL OCEAN VIEW | MIDDLE FLOOR | PAYMENT PLAN,PREMIUM,"Bluewaters Bay, Bluewaters, Dubai",6400000,1199002337.0,d36ba0ac-8c1d-46bf-8122-f4e743e1769e
synergyae-4817586,Townhouse,VERIFIED,1,1,1250,Brand New With Private Garden Near Pool And Park,PREMIUM,"Avencia 3, Avencia, Damac Hills 2, Dubai",750000,7144380783.0,4b11db33-183b-4763-a18b-d483b34d2e02
epichomes-2875801,Townhouse,UNVERIFIED,5,6,"2,930",5 Bed Resale | Damac Lagoons I 2yrs Postplan,PREMIUM,"Santorini, Damac Lagoons, Dubai",2500000,1293533738.0,f70a2530-01a7-4a03-b91c-d0ed0030ab1c
DUB230296,Townhouse,UNVERIFIED,4,5,"4,323",Ready Q1 2024 | Premium 4 bed townhouse | JVC D12,PREMIUM,"La Perla Homes 12, Jumeirah Village Circle, Dubai",3400000,1155199976.0,2c263d78-d0fa-48eb-94cb-2d04dd7d37c7
OPN230142,Duplex,UNVERIFIED,4,5,"8,188",Duplex Suite | One of Eight | Private Pool,PREMIUM,"Orla by Omniyat, Palm Jumeirah, Dubai",72219980,609988569.0,2c263d78-d0fa-48eb-94cb-2d04dd7d37c7
axc-3675243,Apartment,UNVERIFIED,2,2,"1,394",Exclusive | Large 2 Bedrooms | Palm and Sea View,PREMIUM,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",3999999,71164303562.0,4ba271a2-0d8b-40cd-ae1e-09d5cc679d43
HRE-S-6038,Apartment,VERIFIED,Studio,1,850,Lake View | Prime Location | Well-Lit Studio,PREMIUM,"Bay Square Building 9, Bay Square, Business Bay, Dubai",971250,7126912300.0,b7e9e16f-9c2d-422c-b392-c7a313b9c324
MCSP-1249,Villa,VERIFIED,6,7,7768,Sea View| Podium Villa | Big Terrace |Private Pool,PREMIUM,"Building C, Al Zeina, Al Raha Beach, Abu Dhabi",7500000,,3b2d8f15-b6dd-436f-a99f-736768d8c971
SkyView-S-8436,Villa,UNVERIFIED,4,5,"3,740",Genuine Resell | Big Plot Green Belt | Ready 2023,PREMIUM,"Harmony, Tilal Al Ghaf, Dubai",5000000,65331227889.0,80f97f53-edf6-4548-a496-2163bede0b9a
SkyView-S-8306,Villa,UNVERIFIED,4,6,"5,000",Spacious Standalone Villas | Limited Units,PREMIUM,"Sobha Reserve, Wadi Al Safa 2, Dubai",7700000,2522126.0,80f97f53-edf6-4548-a496-2163bede0b9a
SkyView-S-8331,Villa,UNVERIFIED,5,6,"5,729",Luxury Living | Developed Community | Corner Unit,PREMIUM,"Jouri Hills, Jumeirah Golf Estates, Dubai",7798000,1560257009.0,80f97f53-edf6-4548-a496-2163bede0b9a
axc-3963052,Apartment,VERIFIED,Studio,1,449,Genuine Resale | Handover Soon | New Brand,PREMIUM,"Binghatti Canal, Business Bay, Dubai",950000,71404330018.0,d6c62718-f520-431c-aa00-c0c4034677e6
L-208577,Villa,UNVERIFIED,3,3,"2,436",Owner Occupied | Close To Park | End Unit,PREMIUM,"Al Reem 3, Al Reem, Arabian Ranches, Dubai",2999995,6914604800.0,9c1ee5fd-d77e-4cd2-99f7-ea8836d843fa
PF-VS-80539,Townhouse,UNVERIFIED,3,4,"3,800",Corner | Single Row | Semi Detached,PREMIUM,"Arabella Townhouses 1, Arabella Townhouses, Mudon, Dubai",3325000,65278005504.0,2295cf3d-eb90-470e-8194-afc41820b3f6
mth-3822761,Apartment,VERIFIED,2,3,1254,0 Commission |Exclusive|Furnished with Canal View,PREMIUM,"Bay's Edge, Business Bay, Dubai",1900000,7116786300.0,5c6e0b95-cec1-475a-b6ec-f08a916578bb
maskan-5075760,NEW,UNVERIFIED,PREMIUM,West,"10,700","3,800,000 AED",,Corner Plot | Build your Dream Home - Book yours!,Land,,1b1c3183-3169-48d4-b1f2-019cc7bed58e
MJ-S-0559-R,Villa,UNVERIFIED,4,5,"2,443",Spaciously Designed Luxury For Your New Upgrade !,PREMIUM,"Noya Luma, Noya, Yas Island, Abu Dhabi",3050000,,88ba7a9b-9d63-40fa-81b8-42849f96310a
rekazpropertiesllc-5045494,Townhouse,UNVERIFIED,3,4,"2,057",Freehold | Price @ 1.7M | E611 Route| Post payment,Premium,"Hayyan, Sharjah",Ask,,bd9edc53-aaca-4696-82ec-8e42db1c3fa7
axc-3962956,Apartment,UNVERIFIED,3,4,"3,786",Mesmerizing View | Luxury Living | Luxury Duplex,Premium,"One Za'abeel, Zabeel 1, Zabeel, Dubai",19500000,71420811446.0,e755e8ac-8773-40ed-bac3-911b7a91d407
BI-S-20-4249,Apartment,Verified,2,2,1125,FURNISHED | 2 BED | GREAT INVESMENT | HIGH ROI,Premium,"Bayz by Danube, Business Bay, Dubai",1420000,7184529635.0,95c0a4b1-8c82-4ecf-9023-944b1be2a0f4
AGR-S-2548,Townhouse,VERIFIED,4,4,1550,Luxurious Layout | Prime Community | Payment-Plan,PREMIUM,"Monte Carlo, Damac Lagoons, Dubai",2200000,65447472373.0,ab34f712-9324-4583-8375-2d7b0fa13b49
sfr-3978694,Villa,UNVERIFIED,4,5,"2,273",Close To Malta Lagoons | 20% Post Completion,PREMIUM,"Malta, Damac Lagoons, Dubai",2250000,310369661.0,5e0d483b-4929-4f8d-9355-0faa10abc5c8
PS-041406,Apartment,UNVERIFIED,1,1,808,Vacant on Transfer | Marina and Sea Views,PREMIUM,"The Torch, Dubai Marina, Dubai",1430000,7130386200.0,6c0e103d-1c57-4b62-a984-b217fa79e79c
DB-S-39648,Apartment,VERIFIED,2,2,1219,Full Sea View | VACANT | Prime Location,PREMIUM,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",6000000,71164268164.0,da0a6e97-1cc4-42cc-9d17-37da230dcb37
fdmre-4859421,Villa,UNVERIFIED,6,8,"11,500",2024 HANDOVER- CAVALLI DESIGNED- ULTRA LUXUARY- GOLF VIEW,PREMIUM,"CAVALLI ESTATES, DAMAC Hills, Dubai",19370000,,e8484c84-b97f-4e05-93e7-09178ac66d92
kingsre-4868689,Townhouse,UNVERIFIED,3,4,"2,744",Limited Units| 3 Br + Maids| Best Locations,PREMIUM,"Luxury Living Villas, Falcon Island, Al Hamra Village, Ras Al Khaimah",2200000,,d18c372e-5007-4413-8968-34a72a0a569d
primo-4875947,Duplex,UNVERIFIED,3,4,"3,790",Urgent Sale | 3BR Highest Floor | Rare Unit,PREMIUM,"One Za'abeel, Zabeel 1, Zabeel, Dubai",21000000,71420817336.0,3c902b24-8bd3-4e95-9a0e-d8af3cf78cf4
primo-4875899,Apartment,UNVERIFIED,3,4,"1,755",Marina View | 3 Yrs Post Handover | Genuine Resale,PREMIUM,"Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai",6400000,71234060792.0,3c902b24-8bd3-4e95-9a0e-d8af3cf78cf4
SWA-S-1812,Villa,VERIFIED,4,5,4745,Exclusive | Upgraded | On Park | Single Row,PREMIUM,"Harmony, Tilal Al Ghaf, Dubai",6200000,,6419779c-3f9b-49b7-88fc-c163aef9dfca
TREO-S-19593,Townhouse,VERIFIED,4,4,2608,Park View | Vacant On Transfer,PREMIUM,"Arabella Townhouses 1, Arabella Townhouses, Mudon, Dubai",3700000,65277164581.0,bb6fabfd-2c65-44d0-9574-f4ec2160648f
pbp-4087616,Apartment,VERIFIED,3,3,1634,CLOSE TO MALL | HIGH ROI | LARGE LAYOUT,PREMIUM,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",2740000,71354768000.0,481ccc29-d036-4e6a-8807-2c7c025ebe62
castles-4878719,Villa,UNVERIFIED,6,6,"6,662",Contemporary Layout | Lake View | Fully Upgraded,PREMIUM,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai",18500000,65305352412.0,42e53fcb-0700-451c-86b8-727d5251a6b9
AZRM1BAF,Apartment,VERIFIED,1,1,569,Burj View | Ready Soon | Lowest Price in the Market,PREMIUM,"Azizi Riviera 19, Meydan One, Meydan, Dubai",870000,71149776818.0,c63e71f9-0b27-4d86-85c8-d2bc93154863
DB-S-39235,Villa,VERIFIED,3,3,3295,Type 3E | Corner Unit | Near Pool and Park,PREMIUM,"Springs 8, The Springs, Dubai",3500000,6914684200.0,86a30240-f558-4186-a8c1-8b887a1888c5
ahyan-3662746,Apartment,VERIFIED,2,2,896,Park View | Spacious | Balcony | Well Price,PREMIUM,"Rawda Apartments 1, Rawda Apartments, Town Square, Dubai",1000000,7193179474.0,b44eccf1-dd2a-44b2-86dc-43c642e238a0
bnw-4399810,Townhouse,VERIFIED,4,4,1881,4BR | Single Row | Fully Furnished | Best Location,PREMIUM,"Casablanca Boutique Villas, Pacifica, Damac Hills 2, Dubai",1750000,65489580814.0,4f774e6f-58ed-49ef-af9a-b4b2e8403af7
trinity-5043399,Townhouse,VERIFIED,3,3,1939,Upgraded | Single Row | Brand New Townhouse,PREMIUM,"Sun, Arabian Ranches 3, Dubai",2390000,69248769812.0,a1ee50de-351f-4644-9414-6e5861f21571
RL33176,Apartment,VERIFIED,2,2,1370,Lake & Park Views | Vacant | Chiller Free,PREMIUM,"Arno A, Arno, The Views, Dubai",2300000,7116718300.0,4bdbc97e-fb15-4cd9-b8ee-e4f70485f1ce
think-4865339,Villa,VERIFIED,4,5,12250,Exclusive | Huge Plot | Full Lake View | Upgraded,PREMIUM,"Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",25000000,6586407000.0,abb7a967-d46a-4ab5-8e6f-f6b00033d9e0
CLS-S-1766,Townhouse,UNVERIFIED,3,4,"2,620",Jouri| 4300 sq.ft. corner plot| Vacant,PREMIUM,"Al Zahia, Muwaileh Commercial, Sharjah",2500000,,79261db2-e028-41fa-a661-3f2df0eaa06f
CLS-S-1833,Apartment,UNVERIFIED,2,2,"1,179",Pool view| Vacant| One parking slot,PREMIUM,"Al Zahia, Muwaileh Commercial, Sharjah",800000,,79261db2-e028-41fa-a661-3f2df0eaa06f
PLA-S-3631,Penthouse,UNVERIFIED,5,5,"13,383",Magnificent Full Floor Penthouse | Serenia Living,PREMIUM,"Serenia Living Tower 3, Serenia Living, Palm Jumeirah, Dubai",65000000,62155199.0,9f562136-d52e-4f18-85e4-ba0f147c1994
DLAND-OP-GOLFSUITES-2BR,Apartment,UNVERIFIED,2,2,"1,121",Eternity Style|Vacant |Burj Al Arab/Khalifa View,PREMIUM,"Golf Suites, Dubai Hills, Dubai Hills Estate, Dubai",2500000,,a140134d-dea6-46b3-977a-f2ca0cfeb356
AGR-S-2465,Apartment,VERIFIED,1,1,481,Genuine Resale | Modern Layout | Great ROI,PREMIUM,"Zada Tower, Business Bay, Dubai",895000,71249169961.0,b3575e57-a355-486e-8fbd-3bf593a3404b
casabella-4777167,Apartment,VERIFIED,3,5,2446,Upgraded Unit - Full Burj Khalifa View,PREMIUM,"Building 21A, City Walk, Dubai",5300000,7130707523.0,1504b0b9-2ee2-46d6-b1ef-dec87a168fa7
PS-022406,Apartment,UNVERIFIED,4,5,"4,279",Sea and Fountain View | Above 100th Floor | Vacant,PREMIUM,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",19000000,7122129000.0,ac5a2a5b-5464-4442-8a65-5629dc63361d
sustainablehomes-4988197,Townhouse,UNVERIFIED,3,3,"2,938",Premium Corner Townhouse | No Service Charge,PREMIUM,"The Sustainable City - Yas Island, Yas Island, Abu Dhabi",3300000,,5632a749-4b3a-463a-b444-9c32b9135248
PC-S-00851,Villa,UNVERIFIED,4,5,"3,604",Single Row | Type A | Semi-detached Villa,PREMIUM,"Tilal Al Furjan, Al Furjan, Dubai",3550000,744504598.0,394213da-fc02-493e-937b-24c4114b8d17
PC-S-00855,Townhouse,UNVERIFIED,3,3,"2,607",Type B I Vastu I Single Row 3 Bedroom,PREMIUM,"Murooj Al Furjan, Al Furjan, Dubai",2500000,295226346.0,394213da-fc02-493e-937b-24c4114b8d17
PC-S-00790,Townhouse,UNVERIFIED,3,3,"2,627",Murooj East| Type BI Single Row | Gated Community,PREMIUM,"Murooj Al Furjan, Al Furjan, Dubai",2600000,295226346.0,394213da-fc02-493e-937b-24c4114b8d17
PC-S-00798,Townhouse,UNVERIFIED,4,4,"3,013",Corner Unit I Type A I Close to Pool and Park,PREMIUM,"Murooj Al Furjan, Al Furjan, Dubai",3200000,295226346.0,394213da-fc02-493e-937b-24c4114b8d17
PC-S-00715,Townhouse,UNVERIFIED,4,4,"2,900",Type B I Corner Unit I 4BR With Maid I Huge Plot,PREMIUM,"Murooj Al Furjan, Al Furjan, Dubai",2900000,295226346.0,394213da-fc02-493e-937b-24c4114b8d17
powerhousebranch2-5034471,Apartment,UNVERIFIED,1,2,850,0% Commission | Panoramic Canal I Burj View,PREMIUM,"Canal Heights 2, Business Bay, Dubai",2400000,1579731860.0,91f12cfe-e837-4a03-b4aa-a2b27c845909
powerhousebranch2-5032869,Apartment,UNVERIFIED,1,2,756,1% Monthly | PPH 3 Years | Free Service Charge,PREMIUM,"Vincitore Dolce Vita, Arjan, Dubai",990000,1633081412.0,91f12cfe-e837-4a03-b4aa-a2b27c845909
H4L-3596422,Apartment,UNVERIFIED,2,3,"1,421",Jumeirah Living | Palm View | Motivated Seller,PREMIUM,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",3700000,7148038217.0,d2a6ecfe-f323-4c37-8550-a79b8a4a7543
FM-AR-MBCTL-3BR-S,Apartment,UNVERIFIED,3,4,"1,673",Sea View | Prime Deal | Amazing Layout | Good Area,PREMIUM,"Marina Bay, City Of Lights, Al Reem Island, Abu Dhabi",1600000,,0f742d9e-4fff-4599-b734-7f2e774487b4
VI8529,Villa,UNVERIFIED,5,5,"2,533",5 Bedroom | Back to Back Villa | Optional Layout,PREMIUM,"Aura, Tilal Al Ghaf, Dubai",4200000,2134043437.0,6b4375c5-9818-41f2-8a99-b47c58986d22
CVDM-S-50653,Apartment,VERIFIED,2,2,1653,Spacious 2 BR | Prime Location | Dubai Marina,PREMIUM,"Marinascape Avant, Marinascape, Dubai Marina, Dubai",2675000,7123161500.0,8e037d7b-28e1-4294-938a-44f17c615ef0
GRA-S-6477,Apartment,VERIFIED,1,1,802,Vacant | Beautiful Location | Inquire Now!!,PREMIUM,"Marina Bay, City Of Lights, Al Reem Island, Abu Dhabi",800000,,a99b7be4-a0b1-4067-a7dd-0a59b9ce79b4
pbp-3600835,Apartment,VERIFIED,1,2,830,Highest ROI |Dubai Mall Access|Golden visa Incl.,PREMIUM,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",1400000,71354767871.0,481ccc29-d036-4e6a-8807-2c7c025ebe62
axc-3962518,Apartment,VERIFIED,3,5,2128,EXCLUSIVE | Upgraded | Vacant | Designer Furniture,PREMIUM,"Apartment Building 3, Bluewaters Residences, Bluewaters, Dubai",13900000,7148951312.0,c2345182-67b4-4b86-8ea4-f1818215ad9c
axc-3770594,Apartment,VERIFIED,2,3,1516,EXCLUSIVE | Marina View | Best Unit | High Floor,PREMIUM,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",6400000,7148052599.0,c2345182-67b4-4b86-8ea4-f1818215ad9c
L-206019,Apartment,UNVERIFIED,1,2,"1,021",One Bedroom Plus Study | Upgraded Kitchen,PREMIUM,"Al Andalus Tower D, Al Andalus, Jumeirah Golf Estates, Dubai",1250000,71202986904.0,e2babd44-472c-44ac-b585-28b863a7c897
ELY-S-09359,Apartment,UNVERIFIED,3,4,"2,162",Exclusive I Fantastic Upgrades I Park View,PREMIUM,"Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai",4400000,7118928600.0,12635a0f-db1a-4f39-a264-8bc4dbeb9a3a
achiever-4845032,Apartment,UNVERIFIED,1,2,926,Stunning | Luxurious | High Floor | 12/13 Series,PREMIUM,"The Address Downtown Hotel, Downtown Dubai, Dubai",2700000,7123504500.0,52e94f3f-c8e3-42d3-866d-d74586b960e5
arabvision-5050093,Apartment,UNVERIFIED,3,4,"1,850",Full Burj Khalifa View | Great Deal In The Market,PREMIUM,"Downtown Views II Tower 1, Downtown Views II, Downtown Dubai, Dubai",4100000,7146449263.0,b4fe4476-f247-466e-8170-7f341c984202
BWB - 1 BR,Apartment,UNVERIFIED,1,1,801,08 Series I Skyline & Sea View I High Floor,PREMIUM,"Bluewaters Bay, Bluewaters, Dubai",3449999,429055784.0,f36bf276-67fa-4d34-80dd-3811b4d5a2f3
AQ-S-23-00594,Apartment,VERIFIED,1,1,434,Fully Furnished Unit | Vacant | High ROI,PREMIUM,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",510000,71103590172.0,e6f91f97-688f-43f7-9da7-e4c5f0cc8f79
DUB235750,Apartment,VERIFIED,1,2,821,Fully Upgraded | Sea View | High Floor,PREMIUM,"Royal Bay, Palm Jumeirah, Dubai",2000000,7128043671.0,70242e9a-88f8-4ce6-854f-7dc65d8e667c
ET-S-9706,Villa,VERIFIED,4,4,5300,Upgraded Garden | Cozy Pool | Greenery,PREMIUM,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai",12249999,6586881000.0,2445a9ef-f636-47f0-b421-247d63737471
mahmoud salem,Villa,UNVERIFIED,4,7,"3,200","For sale, a villa close to all services",PREMIUM,"Al Yasmeen, Ajman",1240000,,d4691638-22d8-4f03-8018-4bcef50e38b9
mna-5040104,Apartment,VERIFIED,1,2,796,LUXURY | FULL FOUNTAIN and BURJ VIEW | HIGH FLOOR,PREMIUM,"The Address Downtown Hotel, Downtown Dubai, Dubai",4500000,7123812900.0,4a16f957-64dc-47df-af5f-caff7499dc92
homesweet-4913214,Apartment,VERIFIED,2,3,1469,SPACIOUS AREA | WELL MAINTAINED | EASY ACCESS,PREMIUM,"Al Bahia 2, Al Bahia, Al Sufouh, Dubai",1817777,7113976484.0,7a34d3e1-3b8a-4ba1-ba50-a4b38aa43031
homesweet-4913059,Apartment,VERIFIED,1,2,976,ROOMY APARTMENT | CALM AREA | READY TO MOVE,PREMIUM,"Al Bahia 2, Al Bahia, Al Sufouh, Dubai",1307000,7113976505.0,7a34d3e1-3b8a-4ba1-ba50-a4b38aa43031
BHM-S-568155,Apartment,UNVERIFIED,2,3,"1,217",2 BR | Burj Khalifa | Vacant | High Floor,PREMIUM,"The Pad, Business Bay, Dubai",3460000,7117947066.0,d93126d3-ede0-4953-bc59-0ccaed8ef429
canaryisland-4770728,Villa,VERIFIED,4,5,10290,Exclusive | 4 Bedroom | Close to Main Lake.,PREMIUM,"Entertainment Foyer, Contemporary Cluster, Jumeirah Islands, Dubai",13500000,6586877000.0,802d62bb-b731-472a-a297-1d34ce73b098
ANW-S-ADN-00767,Apartment,VERIFIED,2,2,1176,Genuine Resale | Park View | Viewing Possible,PREMIUM,"Harbour Views 1, Dubai Creek Harbour (The Lagoons), Dubai",2025000,7127671377.0,c09f630c-421f-444b-9902-f71dc05209b4
PC-S-00838,Villa,UNVERIFIED,4,5,"4,031",Negotiable | 4BR- Type B | Garden Suite,PREMIUM,"Harmony, Tilal Al Ghaf, Dubai",6000000,535847973.0,0a61f597-38aa-49a7-9124-4c2194ba4419
PC-S-00880,Villa,UNVERIFIED,5,5,"6,200",Spacious | Genuine Re-Sale | With Payment plan,PREMIUM,"Palm Hills, Dubai Hills Estate, Dubai",14500000,919876687.0,0a61f597-38aa-49a7-9124-4c2194ba4419
fdmre-4980557,Apartment,UNVERIFIED,1,1,740,Arabian Gulf View | Dubai Harbour | High Floor,PREMIUM,"Damac Bay, Dubai Harbour, Dubai",2999999,,e8484c84-b97f-4e05-93e7-09178ac66d92
phoenixhomes-3657941,Villa,UNVERIFIED,6,7,"21,276","Modern, Contemporary and Utterly Exquisite Villa",PREMIUM,"Sector P, Emirates Hills, Dubai",58000000,6565223000.0,0bf6f604-d8b1-4f86-a40d-034886a330e1
RL3038,Apartment,UNVERIFIED,2,3,"1,598",Large Layout | Bright Unit | Vacant Soon,PREMIUM,"Marina Arcade Tower, Dubai Marina, Dubai",2206000,522286675.0,56d537f8-029a-49c3-83a4-93fba662c18b
RL3040,Apartment,UNVERIFIED,3,4,"2,410",Vacant Soon | Spacious | High Ceiling Unit,PREMIUM,"Marina Arcade Tower, Dubai Marina, Dubai",3601500,1822652701.0,56d537f8-029a-49c3-83a4-93fba662c18b
RL3037,Apartment,UNVERIFIED,2,3,"1,618",Ready to Move In | Vacant | Spacious Layout,PREMIUM,"Marina Arcade Tower, Dubai Marina, Dubai",2386000,237524748.0,56d537f8-029a-49c3-83a4-93fba662c18b
